actrnumber,study_title,interventions,intervention_codes,eligibity_inclusive,eligibity_exclusive
ACTRN12612001045808,"A Phase 3 open-label randomized study to
compare the efficacy and safety of rituximab
plus lenalidomide versus rituximab plus
chemotherapy followed by rituximab in subjects
with previously untreated follicular lymphoma (ALLG NHL27)","6 cycles of rituximab 375mg/m^2 on days 1,8,15,22 of cycle 1, day 1 of cycles 2-6 in conjunction with 20 mg daily oral lenalidomide on days 2-22 every 28 days.
Responding patients will continue to receive 375mg/m^2 rituximab intravenously (iv) every 8 weeks for 12 cycles together with a response adjusted dose of lenalidomide (patients exhibiting complete remission (CR) receive 12 cycles of 10mg daily on days 2-22 of 28 day cycles; patients exhibiting partial response (PR) receive an additional 3 or 6 cycles of 20 mg daily oral lenalidomide on days 2-22 every 28 days) until they achieve a CR, at which time they will continue to receive 10mg oral lenalidomide on days 2-22 of 28 day cycles for either 9 or 6 cycles. Patients who remain in PR will receive 10mg oral lenalidomide days 2-22 of 28 day cycles for the remaining 6 cycles.)
All responding patients will receive a total of 18 cycles of lenalidomide. Patients who do not respond will be withdrawn from treatment.",CODE: Treatment: drugs,"1. Histologically confirmed CD20+ follicular lymphoma grade 1, 2 or 3a as assessed by the investigators:
2. Have no prior systemic treatment for lymphoma.
3. Must be in need of treatment as evidenced by at least one of the following criteria:
Bulky disease defined as:
-a nodal or extranodal (except spleen) mass > 7cm in its
greater diameter or,
-involvement of at least 3 nodal or extranodal sites (each
with a diameter greater than >3 cm)
Presence of at least one of the following B symptoms:
-fever (>38 degrees Celcius) of unclear etiology
-night sweats
-weight loss greater than 10% within the prior 6 months
Symptomatic splenomegaly
Compression syndrome (ureteral, orbital, gastrointestinal)
Any one of the following cytopenias due to lymphoma:
-hemoglobin < 10g/dL (6.25 mmol/L)
-platelets <100 x 10^9/L , or
-absolute neutrophil count (ANC) < 1.5 x 10^9/L 
Pleural or peritoneal serous effusion (irrespective of cell
content)
LDH> upper limit of normal (ULN) or beta 2 microglobulin > ULN
4. Bi-dimensionally measurable disease with at least one mass lesion > 2cm that was not previously irradiated.
5. Stage II, III or IV disease.
6. Must be > or = to 18 years and sign an informed consent.
7. Performance status less than or equal to 2 on the ECOG scale.
8. Adequate hematological function (unless abnormalities are related to lymphoma infiltration of the bone marrow) within 28 days prior to signing informed consent, including:
-Absolute neutrophil count (ANC) greater than or equal to 1.5 x 10^9/L
-Platelet count greater than or equal to 75 x 10^9/L
-Hemoglobin greater than or equal to 8.0 g/dl (5 mmol/L)
9. Must be able to adhere to the study visit schedule and other protocol requirements.
10. Females of childbearing potential (FCBP) receiving lenalidomide must:
-Have two negative pregnancy tests as verified by the study
doctor prior to starting study therapy. She must agree to ongoing pregnancy testing during the course of the study, and after end of study therapy. This applies even if the subject practices complete abstinence from heterosexual contact.
-Either commit to complete abstinence from heterosexual
contact(which must be reviewed on a monthly basis) or agree to use, and be able to comply with, effective contraception without interruption, 28 days prior to starting study drug, during the study therapy (including dose interruptions), and for 28 days after discontinuation of study therapy.
11. Male patients receiving lenalidomide must:
Must practice complete abstinence or agree to use a condom
during sexual contact with a pregnant female or a female of
childbearing potential while participating in the study, during
dose interruptions and for at least 28 days following study
drug discontinuation, even if he has undergone a successful
vasectomy.
Agree to not donate semen during study drug therapy and for 28 days after discontinuation of study drug therapy.
12. All patients receiving lenalidomide must:
Have an understanding that the study drug could have a potential teratogenic risk.
Agree to abstain from donating blood while taking study drug therapy and for 28 days after discontinuation of study drug therapy.
Agree not to share study medication with another person.
Agree to be counseled about pregnancy precautions and risk of fetal exposure
Females must agree to abstain from breastfeeding during study participation and for at least 28 days after study drug
discontinuation.
13. For all patients receiving Rituximab:
Women must not breast feed and must use effective
contraception must not be pregnant and agree not to become pregnant during participation in the trial and during the 6 months thereafter. Men must agree not to father a child during participation in the trial and during the 6 months thereafter.","1. Clinical evidence of transformed lymphoma by investigator assessment.
2. Grade 3b follicular lymphoma.
3. Patients taking corticosteroids during the last 4 weeks, unless administered at a dose equivalent to < 10 mg/day prednisolone (over these 4 weeks).
4. Major surgery (excluding lymph node biopsy) within 28 days prior to signing informed consent.
5. Seropositive for or active viral infection with hepatitis B virus (HBV):
-HBsAg positive
-HBsAg negative, anti-HBs positive and/or anti-HBc positive and detectable viral DNA
Note:
-Patients who are HBsAg negative, anti-HBs positive and/or anti HBc positive but viral DNA negative are eligible
-Patients who are seropositive due to a history of hepatitis B vaccine are eligible.
6. Known seropositive for, or active infection hepatitis C virus (HCV).
7. Known seropositive for, or active viral infection with human immunodeficiency virus (HIV).
8. Life expectancy < 6 months.
9. Known sensitivity or allergy to murine products.
10. Prior history of malignancies, other than follicular lymphoma, unless the subject has been free of the disease for greater than or equal to 10 years. Exceptions include a history of previously treated:
a. Localized non-melanoma skin cancer
b. Carcinoma in situ of the cervix
11. Prior use of lenalidomide.
12. Neuropathy > Grade 1.
13. Presence or history of CNS involvement by lymphoma.
14. Patients who are at a high risk for a thromboembolic event and are not willing to take venous thromboembolic (VTE) prophylaxis.
15. Any of the following laboratory abnormalities:
-serum aspartate transaminase (AST/SGOT) or alanine
transaminase (ALT/SGPT) > 3x upper limit of normal (ULN),
except in patients with documented liver or pancreatic
involvement by lymphoma
-total bilirubin > 2.0 mg/dl (34 µmol/L) except in cases of Gilberts Syndrome and documented liver involvement by lymphoma
-creatinine clearance of < 30 mL/min
16. Uncontrolled intercurrent illness.
17. Any serious medical condition, laboratory abnormality, or psychiatric illness that would prevent the subject from signing the informed consent form.
18. Pregnant or lactating females.
19. Any condition, including the presence of laboratory abnormalities, which places the subject at unacceptable risk if he/she were to participate in the study, or which confounds the ability to interpret data from the study."
ACTRN12612001045808,"A Phase 3 open-label randomized study to
compare the efficacy and safety of rituximab
plus lenalidomide versus rituximab plus
chemotherapy followed by rituximab in subjects
with previously untreated follicular lymphoma (ALLG NHL27)","6 cycles of rituximab 375mg/m^2 on days 1,8,15,22 of cycle 1, day 1 of cycles 2-6 in conjunction with 20 mg daily oral lenalidomide on days 2-22 every 28 days.
Responding patients will continue to receive 375mg/m^2 rituximab intravenously (iv) every 8 weeks for 12 cycles together with a response adjusted dose of lenalidomide (patients exhibiting complete remission (CR) receive 12 cycles of 10mg daily on days 2-22 of 28 day cycles; patients exhibiting partial response (PR) receive an additional 3 or 6 cycles of 20 mg daily oral lenalidomide on days 2-22 every 28 days) until they achieve a CR, at which time they will continue to receive 10mg oral lenalidomide on days 2-22 of 28 day cycles for either 9 or 6 cycles. Patients who remain in PR will receive 10mg oral lenalidomide days 2-22 of 28 day cycles for the remaining 6 cycles.)
All responding patients will receive a total of 18 cycles of lenalidomide. Patients who do not respond will be withdrawn from treatment.",CODE: Treatment: drugs,"1. Histologically confirmed CD20+ follicular lymphoma grade 1, 2 or 3a as assessed by the investigators:
2. Have no prior systemic treatment for lymphoma.
3. Must be in need of treatment as evidenced by at least one of the following criteria:
Bulky disease defined as:
-a nodal or extranodal (except spleen) mass > 7cm in its
greater diameter or,
-involvement of at least 3 nodal or extranodal sites (each
with a diameter greater than >3 cm)
Presence of at least one of the following B symptoms:
-fever (>38 degrees Celcius) of unclear etiology
-night sweats
-weight loss greater than 10% within the prior 6 months
Symptomatic splenomegaly
Compression syndrome (ureteral, orbital, gastrointestinal)
Any one of the following cytopenias due to lymphoma:
-hemoglobin < 10g/dL (6.25 mmol/L)
-platelets <100 x 10^9/L , or
-absolute neutrophil count (ANC) < 1.5 x 10^9/L 
Pleural or peritoneal serous effusion (irrespective of cell
content)
LDH> upper limit of normal (ULN) or beta 2 microglobulin > ULN
4. Bi-dimensionally measurable disease with at least one mass lesion > 2cm that was not previously irradiated.
5. Stage II, III or IV disease.
6. Must be > or = to 18 years and sign an informed consent.
7. Performance status less than or equal to 2 on the ECOG scale.
8. Adequate hematological function (unless abnormalities are related to lymphoma infiltration of the bone marrow) within 28 days prior to signing informed consent, including:
-Absolute neutrophil count (ANC) greater than or equal to 1.5 x 10^9/L
-Platelet count greater than or equal to 75 x 10^9/L
-Hemoglobin greater than or equal to 8.0 g/dl (5 mmol/L)
9. Must be able to adhere to the study visit schedule and other protocol requirements.
10. Females of childbearing potential (FCBP) receiving lenalidomide must:
-Have two negative pregnancy tests as verified by the study
doctor prior to starting study therapy. She must agree to ongoing pregnancy testing during the course of the study, and after end of study therapy. This applies even if the subject practices complete abstinence from heterosexual contact.
-Either commit to complete abstinence from heterosexual
contact(which must be reviewed on a monthly basis) or agree to use, and be able to comply with, effective contraception without interruption, 28 days prior to starting study drug, during the study therapy (including dose interruptions), and for 28 days after discontinuation of study therapy.
11. Male patients receiving lenalidomide must:
Must practice complete abstinence or agree to use a condom
during sexual contact with a pregnant female or a female of
childbearing potential while participating in the study, during
dose interruptions and for at least 28 days following study
drug discontinuation, even if he has undergone a successful
vasectomy.
Agree to not donate semen during study drug therapy and for 28 days after discontinuation of study drug therapy.
12. All patients receiving lenalidomide must:
Have an understanding that the study drug could have a potential teratogenic risk.
Agree to abstain from donating blood while taking study drug therapy and for 28 days after discontinuation of study drug therapy.
Agree not to share study medication with another person.
Agree to be counseled about pregnancy precautions and risk of fetal exposure
Females must agree to abstain from breastfeeding during study participation and for at least 28 days after study drug
discontinuation.
13. For all patients receiving Rituximab:
Women must not breast feed and must use effective
contraception must not be pregnant and agree not to become pregnant during participation in the trial and during the 6 months thereafter. Men must agree not to father a child during participation in the trial and during the 6 months thereafter.","1. Clinical evidence of transformed lymphoma by investigator assessment.
2. Grade 3b follicular lymphoma.
3. Patients taking corticosteroids during the last 4 weeks, unless administered at a dose equivalent to < 10 mg/day prednisolone (over these 4 weeks).
4. Major surgery (excluding lymph node biopsy) within 28 days prior to signing informed consent.
5. Seropositive for or active viral infection with hepatitis B virus (HBV):
-HBsAg positive
-HBsAg negative, anti-HBs positive and/or anti-HBc positive and detectable viral DNA
Note:
-Patients who are HBsAg negative, anti-HBs positive and/or anti HBc positive but viral DNA negative are eligible
-Patients who are seropositive due to a history of hepatitis B vaccine are eligible.
6. Known seropositive for, or active infection hepatitis C virus (HCV).
7. Known seropositive for, or active viral infection with human immunodeficiency virus (HIV).
8. Life expectancy < 6 months.
9. Known sensitivity or allergy to murine products.
10. Prior history of malignancies, other than follicular lymphoma, unless the subject has been free of the disease for greater than or equal to 10 years. Exceptions include a history of previously treated:
a. Localized non-melanoma skin cancer
b. Carcinoma in situ of the cervix
11. Prior use of lenalidomide.
12. Neuropathy > Grade 1.
13. Presence or history of CNS involvement by lymphoma.
14. Patients who are at a high risk for a thromboembolic event and are not willing to take venous thromboembolic (VTE) prophylaxis.
15. Any of the following laboratory abnormalities:
-serum aspartate transaminase (AST/SGOT) or alanine
transaminase (ALT/SGPT) > 3x upper limit of normal (ULN),
except in patients with documented liver or pancreatic
involvement by lymphoma
-total bilirubin > 2.0 mg/dl (34 µmol/L) except in cases of Gilberts Syndrome and documented liver involvement by lymphoma
-creatinine clearance of < 30 mL/min
16. Uncontrolled intercurrent illness.
17. Any serious medical condition, laboratory abnormality, or psychiatric illness that would prevent the subject from signing the informed consent form.
18. Pregnant or lactating females.
19. Any condition, including the presence of laboratory abnormalities, which places the subject at unacceptable risk if he/she were to participate in the study, or which confounds the ability to interpret data from the study."
ACTRN12612001050842,Valproic acid and Metformin to treat patients with brain tumours,"Valproic acid and metformin added to standard therapy (Temozolomide/radiotherapy)
Valproic acid: oral - 200 mg twice daily to a maximum of 60 mg/day; dose adjusted based on plasma levels; maximum of 10 months
Metformin: oral titrated upto 2 gm per day; maximum of 10 months",CODE: Treatment: drugs,"1. Newly diagnosed supratentorial GBM (histopathologically confirmed as WHO Grade IV, including GBM subtypes, e.g. gliosarcoma)
2. Males or females older than or equal to 18 years of age.
3. Able to provide written informed consent 
4. Stable or decreasing dose of steroids for >5 days prior to randomization.
5. ECOG PS -  0 or 1.
6. Interval of greater than 1 week but less than 7 weeks after surgery or biopsy before first administration of study treatment.
7. Laboratory values (within 2 week prior to randomization):
7.1. Absolute neutrophil count greater than 1500/mm3.
7.2. Platelet count greater than 100,000/mm3.
7.3. Creatinine clearance rate greater than 60 mL/min 
7.4. Prothrombin time (PT) international normalized ratio  (INR) within normal limits and partial thromboplastin time (PTT) below the upper limit of normal.
7.5. Haemoglobin greater than 10 g/dL.
7.6. Total bilirubin  greater than 1.5 x the ULN.
7.7. AST & ALT greater than 2.5 x ULN
7.8. Alkaline phosphatase greater than 2.5 x ULN.","Subjects are not eligible for this study, if they fulfill one or more of the following exclusion criteria:
1.	Cytotoxic chemotherapy within the prior 5 years
2.	Prior XRT of the head (except for low dose radiotherapy for tinea capitis)
3.	Receiving concurrent investigational agents or has received an investigational agent(s) within the past 30 days 
4.	Prior/current use of metformin or sodium valproate
5.	Placement of Gliadel (registered trademark) wafer at surgery.
6.	Treatment with a prohibited concomitant medication 
7.	Planned major surgery for other diseases 
8.	History of malignancy. Subjects with curatively treated cervical carcinoma in situ or basal cell carcinoma of the skin, or subjects who have been free of other malignancies for more than 5 years are eligible for this study.
9.	History of coagulation disorder associated with bleeding or recurrent thromboembolic events.
10.	Clinically manifest myocardial insufficiency (NYHA III, IV) or history of myocardial infarction during the past 6 months; uncontrolled arterial hypertension.
11.	Concurrent illness, including severe infection,(eg HIV) which may jeopardize the ability of the subject to receive the procedures outlined in this protocol with reasonable safety.
12.	Subject is pregnant (positive serum beta human chorionic gonadotropin [beta-HCG] test at screening) or is currently breast-feeding,or has the potential and  wishes to becoming pregnant/ impregnate their partner during the study or within 6 months after study participation, or subject does	not agree to follow acceptable methods of birth control, such as hormonal contraception, intra-uterine pessary, condoms or sterilization, to avoid conception during the study and for at least 6 months after receiving the last dose of study treatment.
13.	Current alcohol dependence or drug abuse.
14.	Known hypersensitivity to the study treatment.
15.	Unable to adhere to the study protocol or follow-up schedule. 
16.	Signs and symptoms suggestive of transmissible spongiform encephalopathy, or a family members who suffer(ed) from spongiform encephalopathy. 
17.	No previous exposure to ALA Fluorescent dye peri operatively"
ACTRN12612001051831,Intranasal white petrolatum versus chlorhexidine to reduce postoperative infections in dermatologic surgery,"Referrals to the Skin Centre for excision of skin cancers will be selected for possible inclusion by one of five participating Consultant Dermatologists. Eligible and consenting patients will at the time of consultation for surgery, fill in a short questionnaire for demographic data and have a nasal swab to assess staphylococcus aureus carriage. The patients will be randomised to either intranasal white petrolatum, 2% chlorhexidine or normal saline to the anterior nares. Five days prior to elective surgery, all patients will apply one of three treatments (depending on randomisation) to the anterior nares twice daily. In the chlorhexidine arm and the normal saline arm, this will be in the manner of a soaked cotton bud whereas in the white petrolatum arm, this will be in the manner of a cotton bud application.  All patients will have their wound assessed at the time of suture removal (expected range: 5  14 days depending on type of surgery) or if any clinical signs of wound infection occur outside this time frame (up to one month post-surgery). All infected wounds will be swabbed. The incidence of wound infection will be collected and a comparison will be made to the incidence of wound infection in patients being treated with intranasal white petrolatum, 2% chlorhexidine and individuals using intranasal normal saline.",CODE: Treatment: Other::||::CODE: Prevention,Patients scheduled for elective dermatologic surgery for removal of skin cancer.,"Current infection
Current antibiotic therapy
Antibiotic use in the last month
Failure to have intranasal swab to assess carriage of S. aureus prior to surgery"
ACTRN12612001053819,Evaluating the role of Positron Emission Tomography (PET) scanning as a non invasive technique to diagnose graft vs host disease of the gastrointestinal tract following bone marrow transplantation.,Patients with clinically suspected acute graft vs host disease of the gastrointestinal tract following bone marrow transplantation will have a positron emission tomography (PET) scan to determine whether this non invasive technique is useful to detect the condition. The PET scan takes approximately 30 minutes to complete.,CODE: Diagnosis / Prognosis,Clinical Suspicion of acute Graft vs Host disease of the gastrointestinal tract Day 20-180 post allogeneic bone marrow transplantation,"Commencement of therapy for suspected acute graft vs host disease of the gastrointestinal tract prior to PET scanning

Significant uncontrolled intercurrent illness

Lactating or pregnant"
ACTRN12612001069842,EMOTIV Trial - Enhancing Melanoma Outcomes using a Timed Immunotherapy Vaccine,"Arm 1 - Control Arm: 0.3 ml VMCL Vaccine Untimed, administered via intra-dermal injection. If progression occurs, then addition of oral chemotherapy (cyclophosphamide -100mg tablet) every 3 weeks, until disease regression/progression. Arm 1 therapies are administered on a regular, pre-determined basis per protocol schedule.
Arm 2 - Test Arm: 0.3 ml VMCL vaccine Timed, administered via intra-dermal injection. If progression occurs, then addition of timed oral chemotherapy (cyclophosphamide - 100mg tablet) as dictated by patients immune system cycle profile (approximately 3 weekly), until disease regression/progression.  Arm 2 therapies are co-ordinated with the patient's own immune cycle, as determined by regular blood tests. ",CODE: Treatment: Drugs,18 - 80 years of age. ECOG 0-2. Evaluable metastases. Primary cutaneous melanoma. Advanced surgically non-resectable AJCC Stage IIIB/IIIC or IV. Able to give informed consent. Tumour volume < 20cm diameter or <70% of organ replacement. ,"Presence of another primary invasive cancer (not BCC, SCC or resected in-situ malignancy)
Untreated brain mets
Extremely extensive disease
Bone mets only
High dose oral steroid therapy
Pregnancy or lactation
Severe atopia
Severe cachexia
Immunodeficiency
HIV
Hep B or C +ve"
ACTRN12612001100886,Using cardiac magnetic resonance imaging to detect early changes in heart muscle that may help predict patients who are at risk of developing toxicity from anthracycline chemotherapy.,"Magnetic resonance imaging scan of the heart (60 minutes duration) before chemotherapy, on completion of chemotherapy cycles (~3 months) and at 1 year after commencement of chemotherapy.We will use novel MRI sequences (T1 and T2 mapping) which aim to quantify specific magnetic properties of the heart muscle that related to myocardial edema (seen in inflammation) and fibrosis.",CODE: Not applicable,"Patient referred for anthracycline chemotherapy (i.e. for lymphoma)
Healthy controls","1. Acute renal failure or chronic renal failure manifest by GFR<60 ml/kg/1.73m2.
2. Contraindication to MRI scanning.		
3. Known hypersensitivity to gadolinium.
4. Atrial fibrillation at baseline. 
5. Pregnancy."
ACTRN12612001101875,A phase I/II study of dendritic cell vaccination with NY-ESO-1 and alpha-galactosylceramide in patients with metastatic melanoma.,"The intervention arm will receive Dendritic Cell Vaccine + alpha-galactosylceramide (DCV+alpha-GalCer) - a 50:50 mixture of autologous dendritic cells loaded with NY-ESO1 peptides and alpha-galactosylceramide, and autologous dendritic cells loaded with influenza peptides and alpha-galactosylceramide.
Vaccines are administered intravenously on Day One of cycles one and two.  Participants are then randomised to either recieve two further vaccines or for observation.  If randomised to the vaccine arm, vaccines are given on day one of cycles three and four.  
Vaccines have a dose of 10 x 10^6 cells (2ml volume).  Each cycle is 28 days.",CODE: Treatment: Other,"Patients must meet all the following criteria to be considered for inclusion in this study:
1. Able to give written informed consent and aged 18 years or over. 
2. Histologically proven, fully resected American Joint Committee on Cancer (AJCC) Stage II, III, IV malignant cutaneous melanoma. 
3. Full recovery from surgery (a minimum of 2 weeks should have elapsed since most recent surgery).
4. The patient must have been rendered disease free for no more than 12 months from surgery before study treatment.
5. ECOG performance status less than or equal to 2.
6. Geographically accessible to the Wellington Blood and Cancer Centre (WBCC) or prepared to travel regularly to Wellington for treatment and follow-up for the duration of the study. 
7. Patients must have normal haematological, liver or renal parameters as indicated by:
i) Haemoglobin > 100 g/L
ii) Platelet count > 100 x109/L
iii) Neutrophil count > 1.5 x 109/L
iv) Lymphocytes > or = 0.8 x 109/L
v) Alanine Transaminase (ALT) less than or equal to 2.5 Upper Limit of Normal (ULN)
vi) Alkaline Phosphatase (ALP) less than or equal to 2.5 ULN
vii) Bilirubin less than or equal to 1.5 ULN
viii) Creatinine < 1.5 x ULN
8. If childbearing potential female, prepared to use contraception for the duration of the trial. Postmenopausal status is defined as meeting one or more of the following criteria:
i) over the age of 60
ii) bilateral oophorectomy
iii) aged up to and including 60 years of age with a uterus and amenorrhoea for at least 12 months 
iv) aged up to and including 60 years of age without a uterus and with Follicle-stimulating hormone (FSH) >30 IU/L ","Patients presenting with any of the following criteria are excluded from this study:
1. Mucosal or ocular melanoma.
2. Prior chemotherapy or radiotherapy for advanced melanoma within 6 weeks of randomisation to the study.
3. Received any prior immune therapy.
4. Pregnant or breastfeeding women.
5. Diagnosis of any other previous cancer in the past 5 years (except non-melanoma skin cancer or in situ cancer of the cervix).
6. Serology indicating active infection with Hepatitis B, C or Human immunodeficiency virus (HIV.) 
7. Uncontrolled or unstable autoimmune disease such as Systemic Lupus Erythematosus (SLE), sarcoidosis, rheumatoid arthritis, glomerulonephritis or vasculitis 
8. Previous use of long-term immunosuppressive therapy in recent months. Must have three months off steroids before entry into the study.
9. Patients with co-morbid conditions that would require long term use (> 1 month) of systemic corticosteroids during study treatment (e.g. chronic obstructive pulmonary disease [COPD]). Steroid use less than or equal to 1 month is permissible. 
10. Concurrent major organ dysfunction or unstable medical condition. 
11. Unable to comply with study requirements as judged by the investigator."
ACTRN12612001122842,Optimising mens participation in faecal occult blood test screening for bowel cancer.,"Name of intervention: gender specific mail-administered screening invitation strategies.

All participants will receive an offer to participate in a free FOBT which will be delivered by mail. Intervention arms will differ from control according to the information included in the materials accompanying the screening offer. All study participants will receive a standard screening reminder irrespective of their intervention group. Intervention materials will target specific psychosocial variables previously identified as being related to male participation in FOBT screening.

The intervention period is 14 weeks. All participants will receive a screening offer according to the following timeline. 
 
Baseline: Advance notification letter sent
Week two: Invitation package sent
Week eight: Reminder letters sent to those who have not completed an FOBT
Week 14: Data collection ceases.

Arm 1: Control

The control arm will receive a standard offer to participate in FOBT screening designed to mimic the strategy utilised by the Australian national bowel cancer screening program (NBCSP).

The standard offer includes an advance notification letter and a screening invitation package. 

The advance notification letter is sent two weeks prior to the screening invitation package and is designed to alert participants that an invitation to screen for CRC with an FOBT will soon follow. The standard advance notification letter introduces basic information about colorectal cancer and the health benefits of screening.  

The screening invitation package includes a) a screening invitation letter b) an immunochemical FOBT with associated instructions c) an information booklet that describes colorectal cancer and screening and d) a participant details form. The standard invitation letter emphasises the importance of reading the information booklet prior to completing the test, provides contact details for those requiring more information and describes the meaning of a positive result on an FOBT. 



Arm 2: Gender Specific (GS) 1

Participants in trial arm two will receive a gender specific advance notification letter plus the standard screening invitation package.

The gender specific advance notification letter will include messages designed to; reduce perceived barriers to FOBT screening (e.g., faecal aversion) and increase mens engagement with sources of social support and influence (e.g., family members, general practitioners) regarding the decision to participate in screening. 

Arm 3: GS2
Participants in trial arm three will receive the standard advance notification letter plus a gender specific screening invitation letter.

The gender specific invitation letter will include messages designed to increase the perceived health benefits of FOBT screening and increase participants perceived self-efficacy and competence for completing the FOBT.
 
Arm 4: GS3
Participants in trial arm four will receive both the gender specific advance notification and the gender specific invitation letter.

In addition to receiving a screening offer, a small subgroup of participants (n=600) from each trial arm will receive a behavioural questionnaire administed before and after the intervention.",CODE: Prevention::||::CODE: Behaviour::||::CODE: Early detection / Screening,"Participants will be male, aged between 50 and 74 years inclusive and residing in the major urban areas of NSW, SA, VIC, QLD and WA.","Exclusion criteria will be the opposite of the inclusion criteria; females, those younger than 50 and older than 74 and those residing outside of the major urban areas of NSW, SA, VIC, QLD and WA will not be eligible. The study will also exclude those who report the presence of bowel cancer or other colon diseases that make the person ineligible for bowel cancer screening with a faecal occult blood test."
ACTRN12612001137886,Can 3-Tesla Magnetic Resonance imaging of the prostate be useful in making the decision to perform prostate biopsy in men with a high or concerning  prostate specific antigen (PSA) ?,"a) Single treatment arm 
b) multi-parametric MRI (mpMRI) prostate followed either by MRI prostate biopsy and ultrasound prostate biopsy; OR ultrasound prostate biopsy alone
Decision to perform MRI guided biopsy is based on MRI findings using PIRADS scoring system (Eur Radiol. 2012 Apr;22(4):746-57. Epub 2012 Feb 10.
) - PIRADS 1 and 2 scored MRI patients only have TRUS biopsy
 - patients with MRI scored 3,4 or 5 have both an MRI guided biopsy and TRUS biopsy
c) MRI prostate - 30min; MRI prostate biopsy 40 min; US biopsy of prostate - 15 min
d) Modes - MRI and ultrasound imaging of the prostate",CODE: Diagnosis / Prognosis::||::CODE: Early detection / Screening,"1. Men referred to a urologist with a high or concerning PSA, or abnormal prostatic rectal examination. These men would normally proceed to TRUS biopsy under current guidelines.","1. Men who have had a TRUS biopsy in the past
2. Men taking 5 alpha reductase inhibitors.
3. Men who are unwilling or unfit to undergo prostate biopsies (in the opinion of the referring urologist)"
ACTRN12612001151820,Immunonutrition in liver surgery,"Patients will be randomised to either preoperative supplemental nutrition with IMPACT (Nestle) or to standard care (usually, no supplementation). 
Patients randomized to the treatment arm will be provided with a prescription for IMPACT and instructions on intake. They will be asked to consume 3 x 237 ml tetra packs daily (1000 kcal providing 12.6 g arginine and 3.3 g eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA)), in addition to their usual intake of their normal meals and snacks, for the 5 consecutive days immediately preceding day of surgery.",CODE: Treatment: Other,Scheduled for hepatic resection of primary or secondary liver cancer,"1.	Diabetes
2.	Immunosuppression
3.	Cirrhosis (biopsy proven or fibroscan result)
4.	Chemotherapy within the 3 weeks prior to study entry
5.	Taking fish oil supplements
6.	Not able to take oral supplements
7.	Pregnant or likely to become pregnant during the study period"
ACTRN12612001162808,Investigating methods of reducing cancer recurrence by changing tissue drainage systems at the time of operation.,"An assessment of the speed of a participants lymphatic flow rates is made using lymphoscintigraphy - a baseline measurement is established. Two weeks later, a spinal anaesthetic is performed (the exposure). The spinal anaesthetic provides complete sympathetic blockade to the lower limbs. Immediately following the exposure, a second lymphoscintigram is performed and the results are compared. 
1. Both of the lymphoscintigrams are performed over two hours. A 0.4ml bleb of colloid tracer is injected between the first and second toes. The passage of the colloid flow up the leg is followed using gamma camera imaging. The patient lies flat through this procedure. The transient discomfort of the injection is the only harm to the patient. We have received ethics approval for the use of the (harmless) low dose radio-isotope injection. 
2. The spinal anaesthestic is routinely performed for these patients as they are receiving brachytherapy that requires applicator insertion into the cervix or prostate. The lymphoscintigraphy is being performed after the procedure has been completed, but with the spinal anaesthetic still active. A typical spinal anaesthetic dose is 12miligrams of intrathecal bupivicaine and 20micrograms of intrathecal Fentanyl.",CODE: Not applicable,"- Patients presenting for brachytherapy for cervical or prostatic carcinoma at Peter MacCallum Cancer Centre;
- Patients requiring Magnetic Resonance Imaging after first treatment (and hence requiring a spinal anaesthetic).","- Abnormal pre-existing lymph flow or sympathetic tone including: Complex Regional Pain Syndrome (CRPS), lymphoedema of any cause, surgery or trauma to the lower extremities and any cutaneous or sub cutaneous inflammation in the lower extremities;
- Obesity as defined BMI >30kg/m2;
- Diabetes Mellitus (type 1 and 2);
- Patients currently on beta blockers or alpha antagonists;
- Clinically or otherwise (Ultrasound) demonstrated lymphadenopathy;
- Absent motor block prior to performing second lymphoscintigram;
- Acute use of Non-Steroidal Anti-Inflammatory Drugs (last 24hours) preceding lymphoscintigram."
ACTRN12612001170819,Observational study of frequency and causes of impaired liver metabolism of cyclophosphamide in breast cancer,"Participant patients will be dispensed with a 200 mg dose of the probe drug, proguanil on two separate occasions. The patients will be requested to take two tablets containing 100 mg each, by mouth three hours before the commencement of chemotherapy. The patients will also be requested to take two tablets containing 100 mg each, by mouth three hours prior to the commencement of the 3rd cycle of chemotherapy.
The duration between the 1st and 3rd cycles of chemotherapy will be dependent on the patients own chemotherapy schedules.",CODE: Not applicable,"Age>18
ECOG (Eastern Cooperative Oncology Group) Performance Status 0-2
Histologically confirmed breast cancer
To receive intravenous cyclophosphamide as part of adjuvant, neoadjuvant or first line chemotherapy for breast cancer as part of standard care.
Staging investigations in process (should not be greater than 2 weeks after start of chemotherapy).
Patients must be able to provide written informed consent
Aspartate transaminase (AST), Alaninine transaminase (ALT) =< 2.5 X upper limit of normal (ULN) for institution
Alkaline phosphatase <5x ULN
Bilirubin =< ULN, except when due to Gilberts Disease
Creatinine <1.5 ULN","Patients receiving medication which is either a CYP2C19 inhibitor or inducer, and where a washout period of 5 days is not clinically feasible
Chronic inflammatory condition such as systemic lupus erythematosis, inflammatory bowel disease, other autoimmune phenomenon or active chronic infection
Active infections (e.g. wound) at time of chemotherapy
Pregnant or breast feeding
Other active malignancy within the last 5 years, excluding non-melanoma skin cancers, or preinvasive cervical cancer that has been treated definitively"
